NumberOfRacks,RackType,LocationDescription,Address,Status,Id
3,Ulockit,Adrian Burnett Elementary School,4521 Brown Gap Pike,Installed,157
19,Hoop,Maryville College,"502 E Lamar Alexander Pkwy, Maryville, TN 37804",Installed,158
3,Hoop,Blount County Library,"508 N Cusick St, Maryville, TN 37804",Installed,159
4,Hoop,Vienna Coffee,"212 College St, Maryville, TN 37804",Installed,160
3,Hoop,Vienna Coffe,"212 College St, Maryville, TN 37804",Installed,161
4,Other,3 Rivers Market,1100 North Central,Installed,162
3,Hoop,3 Rivers market,1100 North Central,Installed,163
3,Hoop,Clayton Park,7347 Norris Fwy  37918,Installed,164
1,Hitch,Pete's Coffee,540 Union,Installed,165
1,Hitch,Yassin's Falafel,706 Walnut,Planned,166
1,Hitch,Parkway Shopping Center,4014 Chapman Highway,Installed,167
4,Ulockit,Shoneys,"2612 Chapman Highway, 37920",Installed,168
2,Hoop,Knox County Health Department,140 Dameron Ave,Installed,169
4,Ulockit,Minvilla Manor,447 N Broadway,Installed,170
4,Hoop,K Brew,1138 N Broadway,Installed,171
5,Hoop,Lonsdale Elementary,1317 Louisiana Ave,Installed,172
4,Hoop,Tomato Head,211 W Broadway,Installed,173
2,Hoop,Next to Capitol Coffee,133 W Broadway,Installed,174
2,Hoop,Professional Hair Design,120 E Broadway,Installed,175
1,Hoop,National Fitness Maryville,1644 W Broadway,Installed,176
2,Hoop,Southland Cafe,1505 E Broadway Ave,Installed,177
2,Hoop,Alcoa City Hall,"223 Associates Blvd, Alcoa, TN 37701",Installed,178
1,Hoop,Tennessee Vein Center,421 Marilyn Lane 37701,Installed,179
,Hoop,Creech Property,4407 Singleton Station Road 37777,Installed,180
2,Hoop,3 Minute Car Wash,3203 Alcoa Highway 37701,Installed,181
3,Hoop,GSMNP,107 Park Headquarters,Installed,182
5,Hoop,Oak Ridge Unitarian Universalist Church,809 Oak Ridge Turnpike,Installed,183
8,Hoop,Jackson Square,213 Broadway Ave,Installed,184
,Hoop,Lasalle Park West,Lasalle Road,Installed,185
,Hitch,,722 S Gay St,To Be Replaced,186
,Hitch,,710 S Gay St,To Be Replaced,187
1,Hitch,First Tennessee Plaza,800 S Gay St,Installed,188
5,Bike corral,on street near,407 S Gay St,Installed,189
1,Hoop,(formerly Marie's),202 W Magnolia Ave,Installed,190
1,Hoop,Regions Bank,707 N Broadway,Installed,191
2,Hoop,Central United Methodist Church,201 E Third Ave,Installed,192
4,Hoop,The Restoration House,2205 Village Place Way ,Installed,193
3,Hoop,Sam Duff Park,4060 Chapman Hwy,Installed,194
2,Hoop,Mill and Mine,227 W Depot Ave,Installed,195
1,Hitch,World's Fair Park,974 Worlds Fair Park Dr,Installed,196
2,Hoop,HoneyBee Coffee,700 Sevier Ave,Installed,197
