NumberOfRacks,RackType,LocationDescription,Coordinates,Status,Id
1,Hitch,,,Installed,208
1,Hitch,,,Installed,209
1,Hitch,near rowboat guy,,Installed,210
5,Hoop,Abridged Beer Co,,Installed,211
3,Hoop,Elkmont Exchange,,Installed,212
2,Hoop,Vestal Boys and Girls Club,,Installed,213
2,Hoop,Kybra Athletics,,Installed,214
3,Bike corral,on Church in front of Yassin's,,Installed,215
1,Hitch,,,Installed,216
1,Hitch,,,Installed,217
3,Hoop,by the entrance to Trailhead,,Installed,218
1,Hoop,around the basketball court,,Planned,219
1,Hoop,near the creek,,Planned,220
1,Hitch,,,Installed,221
1,Hoop,Dream Bikes,,Installed,222
2,Hitch,Sharps Ridge - Picnic Area,,Installed,223
